,title,author,name,timeRange,update_Interval,Raum,metadatacreated,license
96,Vektor-Übersichtsplan (OGD) (kantonaler Datensatz),"Geoinformation, Amt für Raumentwicklung, Kanton Zürich",ktzh_vektor_uebersichtsplan__ogd_,02.09.2021,['quartalsweise'],Kanton Zürich,"['2021-10-28', '03:06:51.614953']",cc-zero
97,Raster-Übersichtsplan (OGD) (kantonaler Datensatz),"Geoinformation, Amt für Raumentwicklung, Kanton Zürich",ktzh_raster_uebersichtsplan__ogd_,02.09.2021,['quartalsweise'],Kanton Zürich,"['2021-10-28', '03:09:32.077800']",cc-zero
98,Signalisierte Geschwindigkeiten,"Recht+Qualität, Dienstabteilung Verkehr, Sicherheitsdepartement",geo_signalisierte_geschwindigkeiten,Laufende Nachführung,['vierzehntaeglich'],Stadt Zürich,"['2021-10-08', '02:10:12.154234']",cc-zero
99,Fuss- und Velowegnetz,"Stab, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_fuss__und_velowegnetz,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '08:55:50.349524']",cc-zero
100,"Leerstehende Wohnungen nach Stadtquartier, Zimmerzahl, Gebäudeart, Bewohnungsart und Gebäudealter","Statistik Stadt Zürich, Präsidialdepartement",bau_leerwhg_whg_quartier_zizahl_efh_nb_we_od5427,2014-2021,['jaehrlich'],Stadt Zürich,"['2021-02-02', '19:51:12.301324']",cc-zero
101,"Beschäftigte nach Sektor, Geschlecht und Beschäftigungsgrad, Vollzeitäquivalente, seit Q2 2003","Beschäftigtenstatistik, Bundesamt für Statistik",bfs_wir_besch_sektor_geschlecht_beschgrad_vzaeq_jahr_od4002,2003-2021,['quartalsweise'],"Stadt Zürich, zu Vergleichszwecken auch Kanton Zürich und Schweiz","['2021-06-22', '11:15:30.315948']",cc-zero
102,(GDP) Inventar der schützenswerten Gärten und Anlagen von kommunaler Bedeutung der Stadt Zürich,"Gartendenkmalpflege, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo__gdp__inventar_der_schuetzenswerten_gaerten_und_anlagen_von_kommunaler_bedeutung_der_stadt_,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2019-11-18', '09:11:09.734749']",cc-zero
103,Forstreviere (OGD) (kantonaler Datensatz),"Abteilung Wald, Amt für Landschaft und Natur, Kanton Zürich",ktzh_forstreviere__ogd_,03.08.2021,['quartalsweise'],Kanton Zürich,"['2021-10-28', '03:03:20.595022']",cc-zero
104,Interdisziplinäre Fachberatung Kindesschutz,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_fachberatung_kinderschutz,2006 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:18.970516']",cc-zero
105,Sozialhilfebeziehende der Stadt Zürich nach Geschlecht,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_sozialhilfebeziehende_geschlecht,1999 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:15.932945']",cc-zero
106,Anzahl Beratungen der Fachstelle Pflegekinder,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_fachstelle_pflegekinder,2006 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:21.130551']",cc-zero
107,Persönliche Hilfe gemäss Sozialhilfe-Gesetz,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_persoenliche_hilfe,2006 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:26.706549']",cc-zero
108,Schulsozialarbeit,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_schulsozialarbeit,2006 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:28.761564']",cc-zero
109,Anzahl Beratungen der Fachstelle Elternschaft und Unterhalt,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_fachstelle_elternschaft_unterhalt,2016 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:23.392684']",cc-zero
110,Sozialhilfebeziehende der Stadt Zürich nach Stadtquartier,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_sozialhilfequote_stadtquartier,2000 - 2020,['jaehrlich'],Stadt Zürich,"['2019-10-09', '07:39:12.651664']",cc-zero
111,Bezügerinnen und Bezüger von Sozialhilfe,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_beziehende_sozialhilfe,1999 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:30.772958']",cc-zero
112,Anzahl Jugendberatungen,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_anzahl_jugendberatungen,2002 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:33.789504']",cc-zero
113,Sozialhilfebeziehende der Stadt Zürich nach Alter,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_sozialhilfebeziehende_alter,1999 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:32.196999']",cc-zero
114,Sozialhilfequoten der Stadt Zürich,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_sozialhilfequote,2000 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:35.995799']",cc-zero
115,Aufwand und Ertrag in der wirtschaftlichen Hilfe gemäss Sozialhilfe-Gesetz seit 2014,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_aufwand_ertrag_wirtschaftliche_hilfe,2014 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:38.347693']",cc-zero
116,Bezügerinnen und Bezüger von erzieherischen finanziellen Hilfen,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_beziehende_erz_finanzielle_hilfe,2009 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:43.674772']",cc-zero
117,Anzahl Beratungen der Mütter- und Väterberatung,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_beratungen_muetter_vaeterberatung,2006 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:41.797540']",cc-zero
118,Finanzielle Leistungen in der Kinder- und Jugendhilfe,"Sozialstatistik / Evaluation, Soziale Dienste, Sozialdepartement",sd_sod_finanzielle_leistungen_kinder_und_jugendhilfe,2001 - 2020,['jaehrlich'],Stadt Zürich,"['2019-12-13', '10:33:45.171696']",cc-zero
119,Bauminventar,"Produkteverantw.  & Unterstützungsfunk., Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_bauminventar,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2021-07-24', '02:05:10.409573']",cc-zero
120,Seilbahnen und Skilifte (OGD) (kantonaler Datensatz),"Mobilitätsentwicklung und -steuerung, Amt für Mobilität, Kanton Zürich",ktzh_seilbahnen_und_skilifte__ogd_,15.07.2021,['jaehrlich'],Kanton Zürich,"['2021-10-28', '03:09:52.388190']",cc-zero
