,title,author,name,timeRange,update_Interval,Raum,metadatacreated,license
166,Gemeindegrenzen (OGD) (kantonaler Datensatz),"Geoinformation, Amt für Raumentwicklung, Kanton Zürich",ktzh_gemeindegrenzen__ogd_,11.03.2021,['jaehrlich'],Kanton Zürich,"['2021-10-28', '03:11:04.063179']",cc-zero
167,Polizeilich registrierte Verkehrsunfälle auf dem Stadtgebiet Zürich seit 2011,"Dienstabteilung Verkehr, Sicherheitsdepartement",sid_dav_strassenverkehrsunfallorte,2011 - 2020,['jaehrlich'],Stadt Zürich,"['2020-10-19', '13:59:05.434932']",cc-by
168,Aufenthaltsart der ausländischen Bevölkerung nach Nationalität und Geschlecht seit 1993,"Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_nationalitaet_aufenthaltsart_geschl_od3371,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-09-16', '11:56:24.856576']",cc-zero
169,"Privathaushalte nach Haushaltsform und Stadtquartier, seit 2013","Statistik Stadt Zürich, Präsidialdepartement",bev_hh_haushaltsform_quartier_seit2013_od3805,2013–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:18:47.598413']",cc-zero
170,"Zuzüge von auswärts nach Herkunft und Geschlecht, seit 1971","Bevölkerungsamt, Präsidialdepartement",bev_zuz_herkunft_geschlecht_seit1971_od3510,1971–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:18:49.664841']",cc-zero
171,"Bevölkerung nach Haushaltsform und Altersgruppe, seit 2013","Statistik Stadt Zürich, Präsidialdepartement",bev_hh_haushaltsform_altersgruppe_od3808,2013–2020,['jaehrlich'],Stadt Zürich,"['2020-11-19', '07:36:20.719039']",cc-zero
172,"Erwerb des Schweizer Bürgerrechts nach Nationalität, Geschlecht und Altersgruppe, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_brw_erwerb-ch-buergerrecht_nat_geschl_ag_od3600,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:18.595463']",cc-zero
173,"Todesfälle nach Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_todesfaelle_jahr_quartier_od4220,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:14.755605']",cc-zero
174,"Bevölkerung nach Nationalität und Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_quartier_nationalitaet_od3361,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:27.762909']",cc-zero
175,"Privathaushalte nach Haushaltsgrösse und Stadtquartier, seit 2013","Statistik Stadt Zürich, Präsidialdepartement",bev_hh_haushaltsgroesse_quartier_seit2013_od3806,2013–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:16.468668']",cc-zero
176,"Ins Ausland weggezogene ausländische Personen, mit einer Aufenthaltsdauer von höchstens 4 Jahren, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_wegz_ausl_2ausl_aufd-max4j_od3524,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:37.042050']",cc-zero
177,"Bevölkerung nach Religion, Herkunft und Statistischer Zone, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_statzone_herkunft_konfession_od3161,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:47.381432']",cc-zero
178,"Bevölkerung und Anzahl Nationalitäten nach Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_anz_nationen_quartier_od3363,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:42.730792']",cc-zero
179,"In andere Schweizer Gemeinde weggezogene ausländischen Personen mit einer Aufenthaltsdauer von höchstens 4 Jahren, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_wegz_ausl_2ch_aufd-max4j_od3523,1993–2020,['jaehrlich'],Schweiz,"['2019-07-29', '13:24:03.422973']",cc-zero
180,"Bevölkerungdichte nach unterschiedlichen räumlichen Ausprägungen, seit 2009","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_bevoelkerungsdichten_flaechen_od5802,2009 – 2020,['jaehrlich'],Stadt Zürich,"['2021-02-02', '16:30:27.422424']",cc-zero
181,"Sterbealter nach Herkunft und Geschlecht, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_sterbealter_herkunft_geschlecht_od4202,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:24:08.248998']",cc-zero
182,"Wegzüge nach auswärts nach Wegzugsort und Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_wegz_jahr_quartier_od3521,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:24:53.465473']",cc-zero
183,"Bevölkerung nach Herkunft und Geschlecht, seit 1901","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_herkunft_geschlecht_od3222,1901–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:44.199380']",cc-zero
184,"Bevölkerung nach Religion, seit 1934","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_konfession_od3160,1934–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:37.125673']",cc-zero
185,"Medianalter nach Stadtkreis und Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_medianalter_od4712,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:25:38.820899']",cc-zero
186,"Bevölkerung nach Stadtquartier, Herkunft, Geschlecht und Alter, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_quartier_alter_herkunft_geschlecht_od3903,1993-2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:47.337167']",cc-zero
187,"Zuzüge von auswärts nach Zuzugsort und Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_zuz_jahr_quartier_od3511,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:28.936226']",cc-zero
188,Geburten nach Geschlecht und Nationalität,"Bevölkerungsamt, Präsidialdepartement",bev_geburten_jahr_geschlecht_nationalitaet_od4010,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:32.678825']",cc-zero
189,"Geburten und Geburtenrate nach Statistischer Zone, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_geburten_jahr_geburtenrate_quartier_statz_od4022,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:26:35.234835']",cc-zero
190,"Umzüge innerhalb der Stadt nach Stadtkreis und Stadtquartier, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_umzuege_jahr_quartier_od3555,1993-2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:30:19.743166']",cc-zero
191,"Geburtenrate und Geburten nach Herkunft und Geschlecht, seit 1934","Bevölkerungsamt, Präsidialdepartement",bev_geburten_herkunft_geschlecht_geburtenrate_seit1934_od4001,1934–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:30:15.069328']",cc-zero
192,"Todesfälle nach Herkunft und Geschlecht, seit 1971","Bevölkerungsamt, Präsidialdepartement",bev_todesfaelle_herkunft_geschlecht_seit1971_od4201,1971–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:27:03.524883']",cc-zero
193,"Bevölkerung nach Stadtquartier, seit 1941","Bevölkerungsamt, Präsidialdepartement",bev_bestand_jahr_quartier_od3240,1941–2020,['jaehrlich'],Stadt Zürich,"['2020-05-07', '18:46:27.000198']",cc-zero
194,"Wegzüge nach auswärts nach Wegzugsort, Stadtquartier, Geschlecht, Altersgruppe und Zivilstand, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_wegz_jahr_quartier_ag_zivilstand_od3522,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:35:08.664761']",cc-zero
195,"Umzüge innerhalb der Stadt nach Stadtkreis, Stadtquartier, Geschlecht, Altersgruppe und Zivilstand, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_umzuege_jahr_quartier_ag_zivilstand_od3556,1993-2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:35:25.502098']",cc-zero
196,"Durchschnittsalter der Mütter bei der Geburt nach Herkunft, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_geburten_avg-alter-mutter_herkunft_od4070,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:37:12.405846']",cc-zero
197,"Aufenthaltsdauer beim Wegzug nach auswärts nach Alter, Geschlecht, Herkunft und Stadtkreis","Statistik Stadt Zürich, Präsidialdepartement",bev_aufenthaltsdauer_wegzug_alter_geschlecht_herkunft_stadtkreis_od5251,1993–2020,['jaehrlich'],Stadt Zürich,"['2020-01-09', '13:56:10.332110']",cc-zero
198,"Wegzüge nach auswärts nach Herkunft und Geschlecht, seit 1971","Bevölkerungsamt, Präsidialdepartement",bev_wegz_herkunft_geschlecht_seit1971_od3520,1971–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:37:24.071570']",cc-zero
199,"Umzüge innerhalb der Stadt nach Herkunft, seit 1971","Bevölkerungsamt, Präsidialdepartement",bev_umzuege_herkunft_seit1971_od3557,1971–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:37:21.085316']",cc-zero
200,"Zuzüge von auswärts nach Zuzugsort, Stadtquartier, Geschlecht, Altersgruppe und Zivilstand, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_zuz_jahr_quartier_ag_zivilstand_od3512,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:38:05.379778']",cc-zero
201,"Geburten nach Geschlecht und Statistischer Zone, seit 1993","Bevölkerungsamt, Präsidialdepartement",bev_geburten_jahr_geschlecht_quartier_statz_od4020,1993–2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:38:12.928723']",cc-zero
202,Archäologische Zonenpläne (OGD) (kantonaler Datensatz),"Kantonsarchäologie, Amt für Raumentwicklung, Kanton Zürich",ktzh_archaeologische_zonenplaene__ogd_,02.03.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:02:41.642905']",cc-zero
203,Hundenamen aus dem Hundebestand der Stadt Zürich,"Hundekontrolle (BeVepo), Stadtpolizei, Sicherheitsdepartement",sid_stapo_hundenamen,Bestände vom 1.10.2015 – 01.03.2021,['jaehrlich'],Stadt Zürich,"['2020-03-06', '08:33:23.789825']",cc-zero
204,Hundebestand der Stadt Zürich,"Hundekontrolle (BeVepo), Stadtpolizei, Sicherheitsdepartement",sid_stapo_hundebestand,Bestände vom 1.10.2015 – 01.03.2021,['jaehrlich'],Stadt Zürich,"['2020-03-06', '08:33:35.731821']",cc-zero
205,Liste der Informationstafeln an Denkmalschutz-Objekten,"Archäologie & Denkmalpflege, Amt für Städtebau, Hochbaudepartement",geo_liste_der_informationstafeln_an_denkmalschutz_objekten,Laufende Nachführung,['sporadisch oder unregelmaessig'],Stadt Zürich,"['2021-03-19', '03:02:34.280981']",cc-zero
206,Öffentlich zugängliche Parkhäuser,"Grundlagen + Strategien, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_oeffentlich_zugaengliche_parkhaeuser,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2019-11-18', '09:00:33.634920']",cc-zero
207,Kunst im Stadtraum,"Fachstelle Kunst im öffentlichen Raum, Tiefbauamt, Tiefbau- und Entsorgungsdepartement",geo_kunst_im_stadtraum,Laufende Nachführung,['quartalsweise'],Stadt Zürich,"['2019-11-18', '09:03:27.430498']",cc-zero
208,Amphibienzugstellen (OGD) (kantonaler Datensatz),"Fachstelle Naturschutz, Amt für Landschaft und Natur, Kanton Zürich",ktzh_amphibienzugstellen__ogd_,11.02.2021,['jaehrlich'],Kanton Zürich,"['2021-10-28', '03:06:37.480304']",cc-zero
209,Biotoptypenkartierung 1987,"Naturschutz, Grün Stadt Zürich, Tiefbau- und Entsorgungsdepartement",geo_biotoptypenkartierung_1987,Laufende Nachführung,['keines'],Stadt Zürich,"['2021-02-12', '03:09:04.999362']",cc-zero
210,Bodennutzung und Grundeigentum in der Stadt Zürich seit 2009,"Statistik Stadt Zürich, Präsidialdepartement",bau_stadtgebiet_bodennutzung_grundeigentum_quartier_seit2009_od6120,2009–2020,['jaehrlich'],Stadt Zürich,"['2020-04-06', '17:35:40.405911']",cc-zero
211,Prioritäre Potenzialflächen für Feuchtgebiete (PPF) (OGD) (kantonaler Datensatz),"Fachstelle Naturschutz, Amt für Landschaft und Natur, Kanton Zürich",ktzh_prioritaere_potenzialflaechen_fuer_feuchtgebiete__ppf___ogd_,08.02.2021,['sporadisch oder unregelmaessig'],Kanton Zürich,"['2021-10-28', '03:07:25.510088']",cc-zero
212,"Wohnungsbestand nach Eigentumsart, Zimmerzahl und Stadtquartier seit 2010","Statistik Stadt Zürich, Präsidialdepartement",bau_whg_bestand_ea_zizahl_quartier_seit2010_od5221,2010-2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:23:08.672806']",cc-zero
213,"Anzahl Gebäude in Bestand, Neubau und Abbruch nach Gebäudeart seit 1901","Statistik Stadt Zürich, Präsidialdepartement",bau_geb_bestand_neubau_abbruch_gebaeudeart_jahr_od5061,1901-2020,['jaehrlich'],Stadt Zürich,"['2020-06-16', '09:42:09.285990']",cc-zero
214,"Rauminhalt und Versicherungswert von fertigerstellten Gebäuden, seit 1901","Statistik Stadt Zürich, Präsidialdepartement",bau_neubau_geb_rauminhalt_verswert_jahr_od5063,1901-2020,['jaehrlich'],Stadt Zürich,"['2020-06-16', '09:42:11.492479']",cc-zero
215,"Anzahl Wohnungen nach Zimmerzahl in Bestand, Neubau und Abbruch seit 1901","Statistik Stadt Zürich, Präsidialdepartement",bau_whg_bestand_neubau_abbruch_zizahl_jahr_od5062,1901-2020,['jaehrlich'],Stadt Zürich,"['2020-06-16', '09:42:18.575066']",cc-zero
216,Neubauwohnungen nach Bauprojektstatus und statistischer Zone seit 2009,"Statistik Stadt Zürich, Präsidialdepartement",bau_neubau_whg_projstatus_eigart_statzone_jahr_od5023,2008-2020,['jaehrlich'],Stadt Zürich,"['2021-02-05', '19:47:20.084278']",cc-zero
217,Fertiggestellte und abgebrochene Wohnungen nach Eigentumsart und statistischer Zone seit 2009,"Statistik Stadt Zürich, Präsidialdepartement",bau_neubau_whg_abbr_neu_eigart_statzone_quartier_od5021,2009-2020,['jaehrlich'],Stadt Zürich,"['2021-02-05', '19:47:10.329657']",cc-zero
218,"Wohnungsbau nach Zimmerzahl, Bauprojektstatus und Stadtquartier seit 2009","Statistik Stadt Zürich, Präsidialdepartement",bau_neubau_whg-projektiert_projstatus_zizahl_quartier_seit2009_od5022,2009-2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:38:08.927341']",cc-zero
219,"Geschossflächen nach Nutzungsarten, Stadtquartier und Bauperiode seit 1970","Amt für Städtebau, Hochbaudepartement",bau_geschossflaeche_nutzungsart_quartier_bp_seit1970_od5231,1970-2020,['jaehrlich'],Stadt Zürich,"['2020-04-06', '17:35:32.812645']",cc-zero
220,"Wohnungsbestand nach Art des Energieträgers, Statistischer Zone und Bauperiode seit 2017","Statistik Stadt Zürich, Gebäude- und Wohnungsregister",bau_best_whg_energietraegerart_statzone_seit2017_od5331,2017-2020,['jaehrlich'],Stadt Zürich,"['2021-02-05', '19:47:27.451375']",cc-zero
221,"Neuerstellte Wohnungen nach Art Ersatzbau, Statistischer Zone und Eigentumsgruppe seit  2000","Statistik Stadt Zürich, Präsidialdepartement",bau_neubau_whg_ersatzbauart_eigentumsgruppe_statzone_seit2000_od5324,2000-2020,['jaehrlich'],Stadt Zürich,"['2020-04-06', '17:35:30.747699']",cc-zero
222,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke nach Stadtquartier und Zonenart (ohne StWE, nur BZO99), bis 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_ohne_stwe_bzo99_bis2018_od5125,2009-2018,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:06:56.606506']",cc-zero
223,"Wohnflächenpreise (Median) der im Freihandkauf umgesetzten Wohnungen im Stockwerkeigentum nach Bauperiode, seit 2009","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_stwe_whg_bauperiode_seit2009_od5153,2009-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:06:54.727735']",cc-zero
224,"Grundstückspreise (Median) der im Freihandkauf umgesetzten Grundstücke nach Bebauungsart (Bauzone), seit 2009","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_anz_fl_bebart_uw_seit2009_od5121,2009-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:05.541318']",cc-zero
225,"Wohnflächenpreise (Median) der im Freihandkauf umgesetzten Wohnungen im Stockwerkeigentum nach Zonenart (nur BZO16), seit 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_stwe_whg_zonenart_bzo16_seit2018_od5154,2018-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:07.299084']",cc-zero
226,"Grundstückspreise (Median) der im Freihandkauf umgesetzten Grundstücke nach Bebauungsart abzüglich Gebäudeversicherungswert (Bauzone), seit 2009","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_anz_fl_bebart_uw_ohnegvz_seit2009_od5131,2009-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:06:58.765526']",cc-zero
227,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke abzüglich Gebäudeversicherungswert nach Stadtquartier und Zonenart (nur BZO99), bis 2018.","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_bzo99_bis2018_ohnegvz_od5134,2009-2018,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:02.460580']",cc-zero
228,"Wohnflächenpreise (Median) der im Freihandkauf umgesetzten Wohnungen im Stockwerkeigentum nach Zonenart (nur BZO99), bis 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_stwe_whg_zonenart_bzo99_bis2018_od5155,2009-2018,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:00.649941']",cc-zero
229,"Umgesetzte Grundstücke und Fläche nach Handänderungstyp und Bebauungsart, seit 2009","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_anz_fl_haeart_bebart_seit2009_od5111,2009-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:03.971338']",cc-zero
230,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke nach Stadtquartier und Zonenart (ohne StWE, nur BZO16), seit 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_ohne_stwe_bzo16_seit2018_od5123,2018-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:09.213730']",cc-zero
231,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke nach Stadtquartier und Zonenart (nur BZO99), bis 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_bzo99_bis2018_od5124,2009-2018,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:11.392825']",cc-zero
232,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke abzüglich Gebäudeversicherungswert nach Stadtquartier und Zonenart (nur BZO16), seit 2018.","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_bzo16_seit2018_ohnegvz_od5132,2018-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:12.875621']",cc-zero
233,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke abzüglich Gebäudeversicherungswert nach Stadtquartier und Zonenart (ohne StWE, nur BZO99), bis 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_ohne_stwe_bzo99_bis2018_ohnegvz_od5135,2009-2018,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:14.429137']",cc-zero
234,Wohnflächenpreise (Median) der im Freihandkauf umgesetzten Wohnungen im Stockwerkeigentum nach Zimmerzahl seit 2009,"Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_stwe_whg_zizahl_seit2009_od5152,2009-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:15.891149']",cc-zero
235,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke abzüglich Gebäudeversicherungswert nach Stadtquartier und Zonenart (ohne StWE, nur BZO16), seit 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_ohne_stwe_bzo16_seit2018_ohnegvz_od5133,2018-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:19.034157']",cc-zero
236,"Grundstückspreise (Median) der im Freihandkauf umgesetzten bebauten Grundstücke nach Stadtquartier und Zonenart (nur BZO16), seit 2018","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_quartier_zonenart_bzo16_seit2018_od5122,2018-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:17.447019']",cc-zero
237,"Wohnflächenpreise (Median) der im Freihandkauf umgesetzten Wohnungen im Stockwerkeigentum nach Stadtquartier, seit 2009","Statistik Stadt Zürich, Präsidialdepartement",bau_hae_preis_stwe_whg_quartier_seit2009_od5151,2009-2020,['jaehrlich'],Stadt Zürich,"['2020-02-10', '15:07:20.675726']",cc-zero
238,Neubautätigkeit nach Bauprojektstatus und Stadtquartier seit 2009,"Statistik Stadt Zürich, Präsidialdepartement",bau_neubau_whg_bausm_rinh_geb_projstatus_quartier_seit2009_od5011,2009-2020,['jaehrlich'],Stadt Zürich,"['2019-07-29', '13:36:38.893074']",cc-zero
239,Hilfsfristen Rettungsdienst nach Stadtkreis,"Schutz und  Rettung, Sicherheitsdepartement",sid_srz_hilfsfirsten_rd,2020,['jaehrlich'],Stadt Zürich,"['2021-03-04', '12:34:03.010892']",cc-zero
240,Ausrückzeit Feuerwehr nach Stadtkreis,"Schutz und  Rettung, Sicherheitsdepartement",sid_srz_ausrueckzeiten_fw,2020,['jaehrlich'],"Stadt Zürich, Stadtkreise","['2021-03-04', '12:34:07.292271']",cc-zero
241,Einsatzstatistik von Schutz und Rettung Zürich seit 2010,"Schutz und Rettung, Sicherheitsdepartement",sid_srz_einsatzstatistik,2010-2020,['jaehrlich'],Einsatzgebiete von Schutz und Rettung Zürich,"['2020-10-01', '19:11:14.275768']",cc-zero
242,"Bauliche Erneuerung nach Art der Erneuerung, Eigentumsgruppe und Stadtquartier seit 1993","Statistik Stadt Zürich, Präsidialdepartement",bau_whg_erneuerung_art_quartier_eigentumsart_seit1993_od5311,1993-2020,['jaehrlich'],Stadt Zürich,"['2021-02-05', '19:47:29.781838']",cc-zero
243,"Gebäudebestand nach Gebäudeart, Bauperiode und Stadtquartier, seit 2008","Statistik Stadt Zürich, Präsidialdepartement",bau_best_geb_jahr_gebart_bauperiode_quartier_od5087,2008-2020,['jaehrlich'],Stadt Zürich,"['2020-06-16', '09:42:16.195275']",cc-zero
244,Amtliche Vermessungsdaten Stadt Zürich Jahresendstand 2020,"Kataster, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_amtliche_vermessungsdaten_stadt_zuerich_jahresendstand_2020,06.01.2021,['keines'],Stadt Zürich,"['2021-01-19', '03:03:41.152844']",cc-zero
245,3D-Blockmodell LoD1 Jahresendstand 2020,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_3d_blockmodell_lod1_jahresendstand_2020,Laufende Nachführung,['keines'],Stadt Zürich,"['2021-01-19', '03:04:00.128028']",cc-zero
246,Grundwasserschutzzonen Jahresendstand 2020,"GIS, Wasserversorgung, Departement der Industriellen Betriebe",geo_grundwasserschutzzonen_jahresendstand_2020,Laufende Nachführung,['keines'],Stadt Zürich,"['2021-01-19', '03:04:12.019082']",cc-zero
247,Grundwasserschutzzonen inkl. geplante Objekte Jahresendstand 2020,"GIS, Wasserversorgung, Departement der Industriellen Betriebe",geo_grundwasserschutzzonen_inkl-_geplante_objekte_jahresendstand_2020,Laufende Nachführung,['keines'],Stadt Zürich,"['2021-01-19', '03:04:26.320282']",cc-zero
248,Nutzungsplanung - kommunale Bau- und Zonenordnung (BZO) Jahresendstand 2020,"Raumentwicklung & Architektur, Amt für Städtebau, Hochbaudepartement",geo_nutzungsplanung___kommunale_bau__und_zonenordnung__bzo__jahresendstand_2020,Laufende Nachführung,['keines'],Stadt Zürich,"['2021-01-19', '03:04:45.151098']",cc-zero
249,Basiskarte Zürich Raster Grau,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_basiskarte_zuerich_raster_grau,Laufende Nachführung,['halbjaehrlich'],Kanton Zürich,"['2019-11-18', '09:04:16.854965']",cc-zero
250,Gastwirtschaftsbetriebe,"SPA-VEPO-BG, Stadtpolizei, Sicherheitsdepartement",geo_gastwirtschaftsbetriebe,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2019-11-18', '09:03:15.578321']",cc-zero
251,Luftqualität,"Strassenlärmsanierung und NIS, Umwelt- und Gesundheitsschutz, Gesundheits- und Umweltdepartement",geo_luftqualitaet,Laufende Nachführung,['jaehrlich'],Stadt Zürich,"['2021-06-04', '02:02:51.264683']",cc-zero
252,Basiskarte Zürich Raster,"GIS-Zentrum, Geomatik + Vermessung, Tiefbau- und Entsorgungsdepartement",geo_basiskarte_zuerich_raster,Laufende Nachführung,['halbjaehrlich'],Kanton Zürich,"['2019-11-18', '08:57:31.724563']",cc-zero
253,Entsorgung Sammelstellen,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_sammelstellen,2021,['jaehrlich'],Stadt Zürich nach PLZ,"['2020-12-22', '08:34:01.765594']",cc-zero
254,Entsorgungskalender Sonderabfall,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_sonderabfall,2021,['jaehrlich'],Stadt Zürich nach PLZ / nach Station,"['2020-12-22', '08:34:03.382096']",cc-zero
255,Entsorgungskalender CargoTram,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_cargotram,2021,['jaehrlich'],Stadt Zürich nach PLZ / nach Station,"['2020-12-22', '08:33:59.868215']",cc-zero
256,Entsorgungskalender eTram,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_etram,2021,['jaehrlich'],Stadt Zürich nach Station / nach PLZ,"['2020-12-22', '08:33:47.574542']",cc-zero
257,Entsorgungskalender Bioabfall,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_bioabfall,2021,['jaehrlich'],Stadt Zürich nach PLZ,"['2020-12-22', '08:33:55.921889']",cc-zero
258,Entsorgungskalender Karton,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_karton,2021,['jaehrlich'],Stadt Zürich nach PLZ,"['2020-12-22', '08:33:57.887713']",cc-zero
259,Entsorgungskalender Papier,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_papier,2021,['jaehrlich'],Stadt Zürich nach PLZ,"['2020-12-22', '08:34:13.484736']",cc-zero
260,Entsorgungskalender Textilien,"Entsorgung + Recycling Zürich, Tiefbau- und Entsorgungsdepartement",erz_entsorgungskalender_textilien,2021,['jaehrlich'],Stadt Zürich nach PLZ,"['2020-12-22', '08:34:20.998918']",cc-zero
