,Id,POITypeId,POIName_de,address_city,address_kantoncode,address_zip,address_countrycode,address_street,address_gemeindeid,geopoint,poityp_de
50479,003BE_00329918,003BE,"Briefeinwurf Zürich, Seebahnstrasse",Zürich,ZH,8003,CH,Seebahnstrasse 115,261,"47.37292552,8.52051441",Briefeinwurf
50497,003BE_00329424,003BE,"Briefeinwurf Zürich, Kinkelstrasse",Zürich,ZH,8006,CH,Kinkelstrasse 10,261,"47.38625462,8.5407777",Briefeinwurf
50498,003BE_00329430,003BE,"Briefeinwurf Zürich, Beckenhofstrasse",Zürich,ZH,8006,CH,Beckenhofstrasse 17,261,"47.38377997,8.54201122",Briefeinwurf
50523,003BE_00329439,003BE,"Briefeinwurf Zürich, Bushaltestelle Nürenbergstrasse",Zürich,ZH,8037,CH,Rotbuchstrasse 44,261,"47.39258045,8.53277795",Briefeinwurf
50533,003BE_00329985,003BE,"Briefeinwurf Zürich, Am Wasser",Zürich,ZH,8049,CH,Am Wasser 56,261,"47.39591822,8.50645839",Briefeinwurf
50534,003BE_00329989,003BE,"Briefeinwurf Zürich, Pflegezentrum Käferberg",Zürich,ZH,8037,CH,Emil-Klöti-Strasse 25,261,"47.39877754,8.51588445",Briefeinwurf
50535,003BE_00329990,003BE,"Briefeinwurf Zürich, Stadtspital Waid",Zürich,ZH,8037,CH,Tièchestrasse 99,261,"47.3987925,8.52054266",Briefeinwurf
50536,003BE_00329992,003BE,"Briefeinwurf Zürich, Universitätsspital Zürich",Zürich,ZH,8006,CH,Rämistrasse 100,261,"47.37661864,8.54898872",Briefeinwurf
50537,003BE_00330001,003BE,"Briefeinwurf Zürich, Klosbachstrasse",Zürich,ZH,8032,CH,Klosbachstrasse 36,261,"47.36609196,8.55687357",Briefeinwurf
50538,003BE_00330002,003BE,"Briefeinwurf Zürich, Klosbachstrasse",Zürich,ZH,8032,CH,Klosbachstrasse 128,261,"47.36872171,8.56248173",Briefeinwurf
50555,003BE_00329472,003BE,"Briefeinwurf Zürich, Imfeldstrasse",Zürich,ZH,8037,CH,Imfeldstrasse 82,261,"47.39097844,8.52944553",Briefeinwurf
50556,003BE_00329480,003BE,"Briefeinwurf Zürich, Tramhaltestelle Laubiweg",Zürich,ZH,8057,CH,Hofwiesenstrasse 58,261,"47.3950104,8.53643892",Briefeinwurf
50557,003BE_00329493,003BE,"Briefeinwurf Zürich, BE Standseilbahn Bergstation",Zürich,ZH,8001,CH,Leonhardstrasse 34,261,"47.37654932,8.54646462",Briefeinwurf
50558,003BE_00329495,003BE,"Briefeinwurf Zürich, Sternwarte",Zürich,ZH,8006,CH,Schmelzbergstrasse 14,261,"47.37781567,8.55116424",Briefeinwurf
50581,003BE_00329502,003BE,"Briefeinwurf Zürich, Tramhaltestelle Universität Irchel",Zürich,ZH,8057,CH,Irchelstrasse 46,261,"47.39613396,8.54492168",Briefeinwurf
50582,003BE_00329510,003BE,"Briefeinwurf Zürich, Freudenbergstrasse",Zürich,ZH,8044,CH,Freudenbergstrasse 87,261,"47.3832005,8.55718738",Briefeinwurf
50583,003BE_00329520,003BE,"Briefeinwurf Zürich, Bushaltestelle Hofstrasse",Zürich,ZH,8032,CH,Bergstrasse 42,261,"47.37334671,8.56159271",Briefeinwurf
50586,003BE_00329526,003BE,"Briefeinwurf Zürich, Tobelhofstrasse",Zürich,ZH,8044,CH,Tobelhofstrasse 214,261,"47.38315255,8.58620395",Briefeinwurf
50587,003BE_00329528,003BE,"Briefeinwurf Zürich, Zoo Zürich",Zürich,ZH,8044,CH,Zürichbergstrasse 219,261,"47.38403019,8.57403153",Briefeinwurf
50588,003BE_00329529,003BE,"Briefeinwurf Zürich, BE Tramhaltestelle Zoo",Zürich,ZH,8044,CH,BE Tramhaltestelle Zoo,261,"47.38184803,8.57164093",Briefeinwurf
50800,003BE_00336234,003BE,"Briefeinwurf Zürich, Filiale Zürich 51 Schwamendingen",Zürich,ZH,8051,CH,Winterthurerstrasse 525,261,"47.40438915,8.57190551",Briefeinwurf
50966,003BE_00335996,003BE,"Briefeinwurf Zürich, Filiale Zürich 50 Oerlikon",Zürich,ZH,8050,CH,Baumackerstrasse 42,261,"47.40945415,8.543204",Briefeinwurf
51506,003BE_00333419,003BE,"Briefeinwurf Zürich, Letzipark",Zürich,ZH,8048,CH,Baslerstrasse 52,261,"47.38623426,8.4978422",Briefeinwurf
51717,003BE_00340138,003BE,"Briefeinwurf Zürich, Kalkbreitestrasse",Zürich,ZH,8003,CH,Kalkbreitestrasse 85,261,"47.37199982,8.51677224",Briefeinwurf
52105,003BE_00338287,003BE,"Briefeinwurf Zürich, Tramendhaltestelle Werdhölzli",Zürich,ZH,8064,CH,Bändlistrasse 70,261,"47.39776327,8.48201411",Briefeinwurf
52586,003BE_00343532,003BE,"Briefeinwurf Zürich, Filiale Zürich 40 Sihlfeld",Zürich,ZH,8003,CH,Albisriederstrasse 5,261,"47.37805809,8.50961",Briefeinwurf
52596,003BE_00343552,003BE,"Briefeinwurf Zürich, Filiale Zürich 53 Witikon",Zürich,ZH,8053,CH,Witikonerstrasse 279,261,"47.35857307,8.58556261",Briefeinwurf
52607,003BE_00343217,003BE,"Briefeinwurf Zürich, Friesenbergplatz",Zürich,ZH,8045,CH,Friesenbergplatz 5,261,"47.36083525,8.50706663",Briefeinwurf
52711,003BE_00342675,003BE,"Briefeinwurf Zürich, Filiale Zürich 66 Letzibach",Zürich,ZH,8048,CH,Hohlstrasse 510,261,"47.38945655,8.49397897",Briefeinwurf
52745,003BE_00343818,003BE,"Briefeinwurf Zürich, Bahnhof Altstetten Unterführung",Zürich,ZH,8048,CH,Vulkanplatz 31,261,"47.39212165,8.48925522",Briefeinwurf
52804,003BE_00342751,003BE,"Briefeinwurf Zürich, Bushaltestelle Geeringstrasse",Zürich,ZH,8049,CH,Rütihofstrasse 1,261,"47.41436029,8.47997899",Briefeinwurf
52806,003BE_00342757,003BE,"Briefeinwurf Zürich, Ankenweid",Zürich,ZH,8041,CH,Ankenweid 7,261,"47.33002795,8.51544934",Briefeinwurf
52825,003BE_00343400,003BE,"Briefeinwurf Zürich, Spinnereiplatz",Zürich,ZH,8041,CH,Spinnereiplatz 1,261,"47.3387653,8.52004014",Briefeinwurf
52829,003BE_00342775,003BE,"Briefeinwurf Zürich, Filiale Zürich Triemli",Zürich,ZH,8047,CH,Triemlistrasse 181,261,"47.36832595,8.49489014",Briefeinwurf
52837,003BE_00343021,003BE,"Briefeinwurf Zürich, Filiale Zürich 25 Urania",Zürich,ZH,8001,CH,Uraniastrasse 7,261,"47.37434921,8.54015027",Briefeinwurf
52840,003BE_00343026,003BE,"Briefeinwurf Zürich, Freilagerstrasse",Zürich,ZH,8047,CH,Freilagerstrasse 51,261,"47.37979075,8.49009818",Briefeinwurf
52965,003BE_00342064,003BE,"Briefeinwurf Zürich, BE Bahnhof Zürich Affoltern",Zürich,ZH,8046,CH,Riedenhaldenstrasse 288,261,"47.42095974,8.50789063",Briefeinwurf
52986,003BE_00341081,003BE,"Briefeinwurf Zürich, Rigistrasse",Zürich,ZH,8006,CH,Rigistrasse 63,261,"47.3866044,8.55130394",Briefeinwurf
53067,003BE_00342202,003BE,"Briefeinwurf Zürich, Filiale Zürich 32 Neumünster",Zürich,ZH,8008,CH,Forchstrasse 8,261,"47.36420186,8.55559343",Briefeinwurf
75191,003BE_00324759,003BE,"Briefeinwurf Zürich, Tram-/ Bushaltestelle Hegibachplatz",Zürich,ZH,8008,CH,Neumünsterstrasse 34,261,"47.36169896,8.56027779",Briefeinwurf
75192,003BE_00324761,003BE,"Briefeinwurf Zürich, Haltestelle Hardbrücke 1",Zürich,ZH,8005,CH,Hardstrasse 201,261,"47.38620754,8.51745557",Briefeinwurf
75193,003BE_00324762,003BE,"Briefeinwurf Zürich, Bahnhof Enge",Zürich,ZH,8002,CH,Tessinerplatz 10,261,"47.36457654,8.53137336",Briefeinwurf
75332,003BE_00329119,003BE,"Briefeinwurf Zürich, Mühlegasse",Zürich,ZH,8001,CH,Mühlegasse 11,261,"47.37435695,8.54395478",Briefeinwurf
75333,003BE_00329120,003BE,"Briefeinwurf Zürich, Bederstrasse",Zürich,ZH,8002,CH,Bederstrasse 97,261,"47.36166082,8.52636241",Briefeinwurf
75335,003BE_00329126,003BE,"Briefeinwurf Zürich, Ecke Brunaustrasse",Zürich,ZH,8002,CH,Scheideggstrasse 44,261,"47.35561614,8.52930881",Briefeinwurf
75336,003BE_00329127,003BE,"Briefeinwurf Zürich, Bushaltestelle Thujastrasse",Zürich,ZH,8038,CH,Mutschellenstrasse 64,261,"47.3503901,8.52766927",Briefeinwurf
